id,store_id,temp_zone,code,name,sort_order,is_active,created_at,updated_at,store_area_map_id,temp_zone_code
6,1,AMB,TOP,Top 1345\\\\\\,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,1,
5,1,AMB,MID,2,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,1,
4,1,AMB,LOW,3,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,1,
3,1,AMB,FLOOR,4,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,1,
14,1,AMB,TOP,5,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,3,
13,1,AMB,MID,6,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,3,
12,1,AMB,LOW,7,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,3,
11,1,AMB,FLOOR,8,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,3,
22,1,FREEZE,TOP,9,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,5,
21,1,FREEZE,MID,0,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,5,
20,1,FREEZE,LOW,11,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,5,
19,1,FREEZE,FLOOR,12,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,5,
30,1,AMB,TOP,13,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,7,
29,1,AMB,MID,14,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,7,
28,1,CHILL,LOW,15,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,7,
27,1,CHILL,FLOOR,16,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,7,
38,1,AMB,TOP,17,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,9,
37,1,AMB,MID,18,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,9,
36,1,AMB,LOW,19,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,9,
35,1,AMB,FLOOR,20,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,9,
46,1,CHILL,TOP,21,10,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,11,
45,1,CHILL,MID,22,20,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,11,
44,1,FREEZE,LOW,23,30,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,11,
43,1,FREEZE,FLOOR,24,40,t,2025-12-17 08:38:17.509538+00,2026-02-02 02:41:34.122197+00,11,
